ID,Date,Interviewer,Transect,Access,BoatAccess,Meta.x,Meta.y,ActivityDate,FishingType,BaitType,TimeInEx,TimeOutEx,MedTimeEx,DecMedTimeEx,MaxDepthEx,KeptUndam,ReleasedUndam,TotalUndam,DP,TotalHooked,PerDP,ProDP
101,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Squid,08:30,11:30,10:00,10,20,NA,NA,6,0,6,0,0
102,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Squid,,,,NA,20,NA,NA,8,3,11,27.27272727,0.272727273
103,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Trolling,Artificial plastic lure,07:00,12:30,09:45,9.75,5,NA,NA,4,1,5,20,0.2
104,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Squid,09:00,12:30,10:45,10,5,NA,NA,8,1,9,11.11111111,0.111111111
105,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Squid,,,,NA,130,NA,NA,6,1,7,14.28571429,0.142857143
106,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Squid,,,,NA,40,NA,NA,11,0,11,0,0
107,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Squid,09:00,13:30,11:15,11.25,50,NA,NA,1,3,4,75,0.75
108,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Squid,07:00,12:00,09:30,9.5,160,NA,NA,14,8,22,36.36363636,0.363636364
109,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Trolling,Artificial plastic lure,07:00,13:30,10:15,10.25,5,NA,NA,4,3,7,42.85714286,0.428571429
110,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Squid,08:00,13:30,10:45,10.75,300,NA,NA,15,10,25,40,0.4
111,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Squid,08:30,13:00,10:45,10.75,275,NA,NA,15,5,20,25,0.25
112,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Mullet,07:30,13:15,10:22,10.37,120,NA,NA,19,9,28,32.14285714,0.321428571
113,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Mulie,10:15,14:30,12:22,12.37,10,NA,NA,60,0,60,0,0
114,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Squid,,,,NA,100,NA,NA,14,6,20,30,0.3
115,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Squid,,,,NA,110,NA,NA,8,1,9,11.11111111,0.111111111
116,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Squid,,,,NA,100,NA,NA,4,4,8,50,0.5
117,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Trolling,Artificial plastic lure,07:30,14:30,11:00,11,5,NA,NA,3,0,3,0,0
118,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Trolling,Artificial plastic lure,09:00,13:00,11:00,11,5,NA,NA,1,0,1,0,0
119,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Mulie,08:30,15:15,11:52,11.87,30,NA,NA,25,5,30,16.66666667,0.166666667
120,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Bottom-bashing (drifting),Squid,09:00,16:30,12:45,12.75,100,NA,NA,20,4,24,16.66666667,0.166666667
121,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Trolling,Artificial plastic lure,11:00,16:15,13:37,13.62,5,NA,NA,3,0,3,0,0
122,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Trolling,Artificial plastic lure,06:30,15:00,10:45,10.75,5,NA,NA,1,0,1,0,0
123,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Trolling,Artificial plastic lure,,,,NA,5,NA,NA,4,1,5,20,0.2
124,30/07/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,30/07/2015,Trolling,Artificial plastic lure,06:00,17:45,11:52,11.87,5,NA,NA,6,0,6,0,0
125,31/07/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,31/07/2015,Bottom-bashing (drifting),Squid,08:15,10:30,09:22,9.37,15,NA,NA,32,12,44,27.27272727,0.272727273
126,31/07/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,31/07/2015,Bottom-bashing (drifting),Prawns,09:30,11:30,10:30,10.5,20,NA,NA,25,1,26,3.846153846,0.038461538
127,31/07/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,31/07/2015,Bottom-bashing (drifting),Prawns,,,,NA,10,NA,NA,5,5,10,50,0.5
128,31/07/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,31/07/2015,Bottom-bashing (drifting),Squid,08:30,12:00,10:15,10.25,20,NA,NA,18,0,18,0,0
129,31/07/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,31/07/2015,Bottom-bashing (drifting),Squid,09:00,12:30,10:45,10.75,65,NA,NA,7,1,8,12.5,0.125
130,31/07/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,31/07/2015,Bottom-bashing (drifting),Squid,,,,NA,20,NA,NA,58,0,58,0,0
131,31/07/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,31/07/2015,Bottom-bashing (drifting),Mullet,11:00,14:15,12:37,12.62,110,NA,NA,12,0,12,0,0
132,31/07/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,31/07/2015,Trolling,Artificial plastic lure,11:00,11:30,11:15,11.25,5,NA,NA,1,0,1,0,0
133,31/07/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,31/07/2015,Trolling,Artificial plastic lure,10:30,15:45,13:07,13.12,5,NA,NA,2,0,2,0,0
134,02/08/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/08/2015,Bottom-bashing (anchored),Mullet,12:00,14:15,13:07,13.12,5,NA,NA,6,0,6,0,0
135,02/08/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/08/2015,Bottom-bashing (drifting),Squid,10:00,12:45,11:22,11.37,20,NA,NA,10,1,11,9.090909091,0.090909091
136,02/08/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/08/2015,Trolling,Artificial plastic lure,12:00,12:30,12:15,12.25,5,NA,NA,2,0,2,0,0
137,02/08/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/08/2015,Trolling,Artificial plastic lure,07:30,16:30,12:00,12,5,NA,NA,5,0,5,0,0
138,02/08/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/08/2015,Bottom-bashing (drifting),Squid,12:30,16:45,14:37,14.62,10,NA,NA,30,0,30,0,0
139,02/08/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/08/2015,Trolling,Artificial plastic lure,,,,NA,5,NA,NA,5,0,5,0,0
140,23/09/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,23/09/2015,Bottom-bashing (anchored),Mackerel,11:00,15:00,13:00,13,5,NA,NA,2,0,2,0,0
141,23/09/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,23/09/2015,Bottom-bashing (anchored),Squid,08:30,16:15,12:22,12.37,15,NA,NA,30,4,34,11.76470588,0.117647059
142,23/09/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,23/09/2015,Trolling,Artificial plastic lure,07:00,09:45,08:22,8.37,5,NA,NA,3,0,3,0,0
143,23/09/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,23/09/2015,Bottom-bashing (drifting),Squid,06:30,15:00,10:45,10.75,40,NA,NA,15,1,16,6.25,0.0625
144,23/09/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,23/09/2015,Bottom-bashing (anchored),Mackerel,14:00,15:00,14:30,14.5,15,NA,NA,7,0,7,0,0
145,23/09/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,23/09/2015,Bottom-bashing (drifting),Squid,11:00,15:00,13:00,13,20,NA,NA,30,20,50,40,0.4
146,23/09/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,23/09/2015,Bottom-bashing (drifting),Squid,08:00,15:45,11:52,11.87,100,NA,NA,10,1,11,9.090909091,0.090909091
147,23/09/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,23/09/2015,Trolling,Artificial plastic lure,09:00,12:00,10:30,10.5,5,NA,NA,12,0,12,0,0
148,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Bottom-bashing (drifting),Prawns,08:30,15:00,11:45,11.75,50,NA,NA,0,7,7,100,1
149,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Bottom-bashing (anchored),Mulie,12:00,17:15,14:37,14.62,5,NA,NA,3,2,5,40,0.4
150,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Trolling,Artificial plastic lure,06:30,10:45,08:37,8.62,5,NA,NA,4,1,5,20,0.2
151,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Bottom-bashing (drifting),Squid,07:00,13:30,10:15,10.25,35,NA,NA,17,10,27,37.03703704,0.37037037
152,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Bottom-bashing (drifting),Squid,08:00,13:45,10:52,10.87,100,NA,NA,20,0,20,0,0
153,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Trolling,Artificial plastic lure,07:30,14:15,10:52,10.87,5,NA,NA,1,0,1,0,0
154,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Bottom-bashing (anchored),Squid,09:00,15:45,12:22,12.37,25,NA,NA,2,0,2,0,0
155,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Bottom-bashing (anchored),Mulie,11:30,15:30,13:30,13.5,20,NA,NA,6,4,10,40,0.4
156,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Trolling,Artificial plastic lure,08:00,17:00,12:30,12.5,5,NA,NA,5,0,5,0,0
157,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Bottom-bashing (drifting),Squid,10:00,15:00,12:30,12.5,250,NA,NA,5,2,7,28.57142857,0.285714286
158,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Trolling,Artificial plastic lure,12:00,14:00,13:00,13,5,NA,NA,3,0,3,0,0
159,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Trolling,Artificial plastic lure,13:00,18:00,15:30,15.5,5,NA,NA,0,1,1,100,1
160,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Trolling,Artificial plastic lure,09:30,14:00,11:45,11.75,5,NA,NA,4,3,7,42.85714286,0.428571429
161,24/09/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,24/09/2015,Trolling,Artificial plastic lure,06:00,16:15,11:07,11.12,5,NA,NA,3,0,3,0,0
162,25/09/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,25/09/2015,Bottom-bashing (anchored),Squid,09:00,11:15,10:07,10.12,10,NA,NA,30,0,30,0,0
163,25/09/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,25/09/2015,Bottom-bashing (drifting),Squid,09:30,11:30,10:30,10.5,15,NA,NA,12,3,15,20,0.2
164,25/09/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,25/09/2015,Trolling,Artificial plastic lure,10:00,12:00,11:00,11,5,NA,NA,1,0,1,0,0
165,25/09/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,25/09/2015,Bottom-bashing (anchored),Mulie,11:30,13:00,12:15,12.25,15,NA,NA,3,0,3,0,0
166,25/09/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,25/09/2015,Bottom-bashing (drifting),Squid,09:30,13:45,11:37,11.62,20,NA,NA,5,0,5,0,0
167,25/09/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,25/09/2015,Bottom-bashing (drifting),Squid,08:30,14:15,11:22,11.37,80,NA,NA,18,2,20,10,0.1
168,25/09/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,25/09/2015,Bottom-bashing (drifting),Mulie,10:00,14:15,12:07,12.12,20,NA,NA,15,5,20,25,0.25
169,25/09/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,25/09/2015,Bottom-bashing (anchored),Squid,06:30,14:45,10:37,10.62,130,NA,NA,15,6,21,28.57142857,0.285714286
170,25/09/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,25/09/2015,Bottom-bashing (drifting),Squid,11:00,14:30,12:45,12.75,20,NA,NA,8,10,18,55.55555556,0.555555556
171,25/09/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,25/09/2015,Bottom-bashing (drifting),Squid,08:30,13:30,11:00,11,80,NA,NA,15,2,17,11.76470588,0.117647059
172,25/09/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,25/09/2015,Bottom-bashing (drifting),Mullet,06:00,15:30,10:45,10.75,300,NA,NA,9,2,11,18.18181818,0.181818182
173,25/09/2015,Jon,Bundegi,BunBR,Yes,114.174006,-21.831222,25/09/2015,Trolling,Artificial plastic lure,14:00,16:00,15:00,15,5,NA,NA,2,1,3,33.33333333,0.333333333
174,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (drifting),Prawns,11:00,15:30,13:15,13.25,20,NA,NA,6,0,6,0,0
175,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Trolling,Artificial plastic lure,09:00,16:00,12:30,12.5,5,NA,NA,13,0,13,0,0
176,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (anchored),Squid,07:30,10:00,08:45,8.75,15,NA,NA,10,1,11,9.090909091,0.090909091
177,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Trolling,Artificial plastic lure,10:30,12:00,11:15,11.25,5,NA,NA,1,0,1,0,0
178,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (drifting),Mulie,12:30,13:45,13:07,13.12,20,NA,NA,2,2,4,50,0.5
179,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Trolling,Artificial plastic lure,12:00,12:30,12:15,12.25,5,NA,NA,2,0,2,0,0
180,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Trolling,Artificial plastic lure,09:00,14:30,11:45,11.75,5,NA,NA,8,0,8,0,0
181,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (anchored),Squid,11:00,14:30,12:45,12.75,15,NA,NA,20,0,20,0,0
182,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (anchored),Mullet,10:30,15:00,12:45,12.75,15,NA,NA,15,0,15,0,0
183,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (drifting),Garfish,12:00,16:00,14:00,14,10,NA,NA,4,0,4,0,0
184,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (drifting),Squid,14:00,16:00,15:00,15,20,NA,NA,5,0,5,0,0
185,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (drifting),Squid,11:30,16:45,14:07,14.12,15,NA,NA,14,0,14,0,0
186,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Trolling,Artificial plastic lure,11:00,14:00,12:30,12.5,5,NA,NA,7,0,7,0,0
187,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (drifting),Prawns,10:00,13:45,11:52,11.87,30,NA,NA,9,0,9,0,0
188,02/10/2015,Jon,Exmouth,ExBR,Yes,114.139452,-21.955837,02/10/2015,Bottom-bashing (anchored),Squid,08:30,14:00,11:15,11.25,20,NA,NA,30,8,38,21.05263158,0.210526316
189,03/10/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,03/10/2015,Trolling,Artificial plastic lure,09:30,12:30,11:00,11,5,NA,NA,3,0,3,0,0
190,03/10/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,03/10/2015,Trolling,Artificial plastic lure,11:00,15:30,13:15,13.25,5,NA,NA,1,0,1,0,0
191,03/10/2015,Jon,Tantabiddi,TantBR,Yes,113.977627,-21.912187,03/10/2015,Bottom-bashing (drifting),Mackerel,11:30,16:00,13:45,13.75,60,NA,NA,4,0,4,0,0
192,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (anchored),Mulie,09:00,14:45,11:52,11.87,10,NA,NA,32,3,35,8.571428571,0.085714286
193,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (drifting),Mulie,11:00,13:00,12:00,12,5,NA,NA,1,0,1,0,0
194,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (drifting),Mulie,06:30,11:30,09:00,9,10,NA,NA,5,0,5,0,0
195,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (drifting),Squid,08:30,12:00,10:15,10.25,30,NA,NA,2,1,3,33.33333333,0.333333333
196,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (drifting),Squid,10:00,12:00,11:00,11,5,NA,NA,8,0,8,0,0
197,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (drifting),Mulie,08:00,11:45,09:52,9.87,30,NA,NA,15,5,20,25,0.25
198,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (anchored),Squid,08:30,13:00,10:45,10.75,10,NA,NA,10,0,10,0,0
199,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (drifting),Mulie,11:30,13:30,12:30,12.5,10,NA,NA,20,0,20,0,0
200,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (anchored),Squid,12:30,14:30,13:30,13.5,10,NA,NA,2,0,2,0,0
201,04/10/2015,Jon,CoralBay ,CBBR,Yes,113.766285,-23.155068,04/10/2015,Bottom-bashing (anchored),Mulie,08:00,15:30,11:45,11.75,35,NA,NA,28,30,58,51.72413793,0.517241379
