OBJECTID,exGUID,# Is this a boat based or shore based activity?,"If RECALL, what date did they go fishing?",What type of fishing did you do?,Did you use bait or lure?,What time did you START fishing at this site?,What time did you STOP fishing at this site?,What was your maximum hook depth (m) at this site?,Number of fish kept undamaged at this site?,How many fish did you release at this site?,How many shark bite offs did you get at this site?,What species of fish did you keep? ,Why did you leave this site?,Comments,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
4,066c421f-db26-47f4-ac29-ccbb588db176,Boat,1/17/2022 6:58:23 AM,Casting,Bait,11:00,12:00,8,12,2,0,Herring,ActivityChange,,035663ac-c8fd-4561-8dd1-c62c49595699,1/17/2022 6:59:53 AM,Nicole.Hamre_UWA,1/17/2022 6:59:53 AM,Nicole.Hamre_UWA,122.593151335405,-33.9334078762736
5,85e33d86-5fb0-4e33-b1c2-83c97e00c1ee,Boat,1/21/2022 2:19:15 AM,Casting,Bait,06:00,10:00,5,6,6,0,"Snook, skippers, herrings, yellow tails",LowCatch,,b9f42da0-84b4-43d9-a6dd-17ff1c50369e,1/21/2022 2:21:16 AM,Nicole.Hamre_UWA,1/21/2022 2:21:16 AM,Nicole.Hamre_UWA,121.897042414606,-33.8622236713842
6,002a7396-a8cb-471f-8b2c-cc8da5f4e356,Boat,1/21/2022 2:47:48 AM,Casting,Bait,06:30,08:00,15,5,5,0,"King George whiting , herrings",Weather,,03f14681-fb36-453f-942f-4283516a6552,1/21/2022 2:49:24 AM,Nicole.Hamre_UWA,1/21/2022 2:49:24 AM,Nicole.Hamre_UWA,121.915099287537,-33.8730594685367
7,002a7396-a8cb-471f-8b2c-cc8da5f4e356,Boat,1/21/2022 2:49:42 AM,Casting,Bait,08:30,10:30,2,0,6,0,Rock cod wrasse ,Weather,,abcbded5-6d85-44b0-b395-e3da8a1d2ad7,1/21/2022 2:50:31 AM,Nicole.Hamre_UWA,1/21/2022 2:50:31 AM,Nicole.Hamre_UWA,121.908876513833,-33.8558097067878
8,8f465ef1-5a7f-45a3-b450-e1d1ec4f282b,Boat,1/21/2022 2:58:21 AM,Casting,Both,06:30,11:50,15,3,6,0,"Squid, flathead, whiting",Weather,,c87fc071-1096-4abb-b92c-a695af1f35c5,1/21/2022 2:58:57 AM,Nicole.Hamre_UWA,1/21/2022 2:58:57 AM,Nicole.Hamre_UWA,121.908945439769,-33.8881236710603
9,00fe4bfa-98d7-4922-9759-94294db3fe39,Boat,1/21/2022 11:32:52 PM,Cray,Bait,06:30,07:20,18,0,0,0,,Other,Sea sick ,998f0bbf-2ef8-4ca6-b624-fd2ca6056fd9,1/21/2022 11:34:02 PM,Nicole.Hamre_UWA,1/21/2022 11:34:02 PM,Nicole.Hamre_UWA,121.993608563296,-33.9207713363878
10,efa5fdc5-dfc5-40fe-96a7-2252e89b45f8,Boat,1/22/2022 3:25:23 AM,Demersal,Bait,06:00,10:00,40,7,15,0,"Sweep, queenies, nanniguie, estuary cod",Weather,,2cdeff18-5fa0-4b33-91b3-3c1c38f6fd32,1/22/2022 3:27:04 AM,Nicole.Hamre_UWA,1/22/2022 3:30:46 AM,Nicole.Hamre_UWA,122.005736828439,-33.8736862561993
11,efa5fdc5-dfc5-40fe-96a7-2252e89b45f8,Boat,1/22/2022 3:29:28 AM,Trolling,Bait,10:00,12:20,40,0,0,0,0,Weather,,096078a0-83b6-4db6-b136-bccc6c6517fb,1/22/2022 3:30:03 AM,Nicole.Hamre_UWA,1/22/2022 3:30:03 AM,Nicole.Hamre_UWA,121.957170114188,-33.8513768333025
12,c53dae6d-cfdf-4443-94c9-37e6eb756ae4,Boat,1/22/2022 3:56:11 AM,Demersal,Both,08:00,11:30,15,4,10,0,"Herring, wrasse, leather jacket",Weather,"Also trawling in same spot. Shallowest 8m, deepest 20m",46e1496c-3040-451d-93b3-00f375a41df4,1/22/2022 3:58:14 AM,Nicole.Hamre_UWA,1/22/2022 4:01:11 AM,Nicole.Hamre_UWA,121.962209345826,-33.8535190393639
13,b48ced61-1739-4972-a576-3e9b066098c5,Boat,1/22/2022 4:48:15 AM,Trolling,Bait,05:00,08:00,80,13,30,0,"Nanniguie , break sea cod , queen snapper ",Explore,,76b3ecf8-ccc8-463f-baea-baf046dd2e11,1/22/2022 4:52:58 AM,Nicole.Hamre_UWA,1/22/2022 4:57:08 AM,Nicole.Hamre_UWA,122.118591659255,-34.2853765193011
14,b48ced61-1739-4972-a576-3e9b066098c5,Boat,1/22/2022 4:53:22 AM,Trolling,Bait,08:00,11:30,30,4,10,0,Nanniguie ,EndOfDay,,fe8f2342-bc3d-4e3b-a11a-d82433c29e21,1/22/2022 4:54:03 AM,Nicole.Hamre_UWA,1/22/2022 4:58:02 AM,Nicole.Hamre_UWA,121.960111731129,-34.0515122000308
15,f6656fa9-f674-4580-9235-bf5d949a9879,Boat,1/22/2022 5:00:26 AM,Casting,Bait,11:00,12:40,15,10,10,0,Herring,Weather,,643082ad-b860-4c09-8f47-5b0ce5410c44,1/22/2022 5:01:49 AM,Nicole.Hamre_UWA,1/22/2022 5:01:49 AM,Nicole.Hamre_UWA,121.961331152804,-33.8560932120199
16,b1c70484-6603-4d98-a5a6-49eefcb6fbde,Boat,1/22/2022 6:54:25 AM,Casting,Bait,04:45,06:00,55,0,1,0,,Weather,,d5c2d43f-4648-4d82-99b1-e96ca29e4500,1/22/2022 6:55:21 AM,Nicole.Hamre_UWA,1/22/2022 6:55:21 AM,Nicole.Hamre_UWA,121.898905657049,-34.0312952946689
17,b1c70484-6603-4d98-a5a6-49eefcb6fbde,Boat,1/22/2022 6:57:50 AM,Casting,Bait,06:30,11:00,50,0,0,0,0,Weather,,3d49d3d9-1298-46d4-af88-590f5ad01279,1/22/2022 6:58:31 AM,Nicole.Hamre_UWA,1/22/2022 6:58:31 AM,Nicole.Hamre_UWA,122.024507848546,-33.9231781709875
18,5c97bb53-87ba-4bb2-b165-c7d919d44655,Boat,1/23/2022 2:13:18 AM,Demersal,Both,04:30,09:00,45,9,6,0,Naniigue,LowCatch,,36354998-1920-4cf5-b158-7434a3b4e7b2,1/23/2022 2:15:30 AM,Nicole.Hamre_UWA,1/23/2022 2:15:30 AM,Nicole.Hamre_UWA,122.238631482513,-34.0352034027057
19,5c97bb53-87ba-4bb2-b165-c7d919d44655,Boat,1/23/2022 2:16:09 AM,Trolling,Both,09:00,10:00,30,0,0,0,,Weather,,cf0b9554-6d89-4188-8b6d-2648be9af20f,1/23/2022 2:16:48 AM,Nicole.Hamre_UWA,1/23/2022 2:16:48 AM,Nicole.Hamre_UWA,122.244896247965,-34.0297296172338
20,ed8bee0f-b535-4255-9e07-2a0a2cdc5650,Boat,1/23/2022 4:05:12 AM,Casting,Bait,11:00,12:00,8,0,0,0,,ActivityChange,,ea26cedc-2091-4398-807d-57889022d4ce,1/23/2022 4:06:16 AM,Nicole.Hamre_UWA,1/23/2022 4:06:16 AM,Nicole.Hamre_UWA,121.900625406202,-33.8663206659574
21,f850b07d-d08a-4597-8836-07cf3612057b,Boat,1/23/2022 4:37:42 AM,Casting,Bait,10:00,12:00,15,3,4,0,"Black ark break sea cod, ",Weather,,286690c9-131d-4f8e-b246-6fcd3d8d1bc6,1/23/2022 4:38:47 AM,Nicole.Hamre_UWA,1/23/2022 4:38:47 AM,Nicole.Hamre_UWA,121.902737804474,-33.9182448460485
22,1d84e23c-1c4a-468a-b00e-1099cc37d9b9,Boat,1/22/2022 4:49:22 AM,Spearing,Bait,07:30,19:00,12,3,0,0,"Abalone, harlequin, queen snapper",EndOfDay,"Thinks shark culls in recreational areas, they also swam throughout the day ",5ede66fb-050e-4dfd-a869-06a502c442d5,1/23/2022 4:51:55 AM,Nicole.Hamre_UWA,1/23/2022 4:54:57 AM,Nicole.Hamre_UWA,122.110308911163,-33.9914785187218
23,8ef85227-8aa8-41ec-b017-40cf8c1516cd,Boat,1/23/2022 5:11:03 AM,Casting,Bait,04:30,12:30,40,7,10,0,"Harlequin, rake sea cod, nanniguie ",Weather,,be132fa8-156d-4c62-b11a-f4e2e23128c4,1/23/2022 5:12:28 AM,Nicole.Hamre_UWA,1/23/2022 5:12:28 AM,Nicole.Hamre_UWA,122.009084049104,-33.9745238618564
24,27d42d98-c39d-4243-b705-15f8ee4f34f9,Boat,,Demersal,Bait,06:15,07:15,20,0,2,0,0,Explore,,ed66fd40-bc30-4caa-99e5-bef2038e73fe,1/20/2022 3:17:57 AM,Nicole.Hamre_UWA,1/20/2022 3:17:57 AM,Nicole.Hamre_UWA,121.996181293354,-33.8529186121195
25,27d42d98-c39d-4243-b705-15f8ee4f34f9,Boat,,Demersal,Bait,07:30,08:00,30,0,0,0,,Weather,,8dfc06d6-738b-4067-99c3-6b2f4dfa736d,1/20/2022 3:18:53 AM,Nicole.Hamre_UWA,1/20/2022 3:18:53 AM,Nicole.Hamre_UWA,121.987983725313,-33.899863345554
26,27d42d98-c39d-4243-b705-15f8ee4f34f9,Boat,1/20/2022 3:19:05 AM,Demersal,Bait,08:15,11:00,20,1,7,0,Herring,Weather,,ad533387-2899-46f5-aab5-f3ae5259f33c,1/20/2022 3:19:56 AM,Nicole.Hamre_UWA,1/20/2022 3:19:56 AM,Nicole.Hamre_UWA,121.987161982424,-33.8535197182412
27,f11653ec-00b4-43a0-9ccc-17f9c2078a2f,Boat,,Demersal,Bait,05:00,10:30,20,24,24,0,School whiting,Weather,,0254bd9d-9346-4203-8b3d-418dadcd12b7,1/20/2022 3:32:29 AM,Nicole.Hamre_UWA,1/20/2022 3:32:29 AM,Nicole.Hamre_UWA,122.088953259219,-33.9736627220033
28,88780bb7-d3cd-474a-8a17-f5540f5eff05,Boat,,Squidding,Lure,10:00,12:00,30,1,0,0,Nannygui - sweet lips emp,Weather,Jigging,254536e0-b1c7-4168-aa01-a1ce39c83286,1/20/2022 4:24:46 AM,Nicole.Hamre_UWA,1/20/2022 5:09:46 AM,Nicole.Hamre_UWA,122.031922989364,-33.9689002074294
29,5598b27d-78b7-4155-8248-6ea143f2d96e,Boat,1/20/2020 5:00:11 AM,Demersal,Both,08:30,12:00,30,6,10,0,"Nannygai (sweet lip emp), harlequin, swallow",Weather,,b08e8275-9ad9-4dd7-a8ee-8e618359c8f5,1/20/2022 5:02:00 AM,Nicole.Hamre_UWA,1/20/2022 5:08:16 AM,Nicole.Hamre_UWA,121.907974846037,-33.9248249237348
30,16a592b9-b766-4033-9b88-4b4d26cc2052,Boat,,Demersal,Bait,05:30,07:00,49,2,1,0,Break sea cod,Explore,,b3cccf23-f2de-49b7-9e86-b108d6640a4c,1/21/2022 12:58:26 AM,Nicole.Hamre_UWA,1/21/2022 1:03:53 AM,Nicole.Hamre_UWA,122.022362846819,-33.8731964561326
31,16a592b9-b766-4033-9b88-4b4d26cc2052,Boat,,Demersal,Bait,07:30,08:30,40,2,2,0,Harelequin,Necessity,,e6b0747d-873a-4fe9-8b1a-32a4d04d7d2b,1/21/2022 1:00:39 AM,Nicole.Hamre_UWA,1/21/2022 1:00:39 AM,Nicole.Hamre_UWA,121.89403980026,-33.9271078780122
32,501e1d61-2b4a-4de3-a678-d2b49f194587,Boat,,Cray,Bait,09:45,11:00,18,0,0,0,,Weather,Cray pot,2cf3e640-1435-43ad-a8af-4f372240ad47,1/21/2022 3:16:09 AM,Nicole.Hamre_UWA,1/21/2022 3:16:09 AM,Nicole.Hamre_UWA,121.986051185032,-33.9235037810963
33,c06c5453-0167-4963-a346-01e85fcc898f,Boat,,Demersal,Bait,06:30,08:00,4,2,1,0,King George whiting,LowCatch,,71143f29-d40a-4676-a2ea-f99b4a14455b,1/21/2022 11:58:41 PM,Nicole.Hamre_UWA,1/21/2022 11:58:41 PM,Nicole.Hamre_UWA,121.905139888764,-33.8643236889083
34,b2f19e9f-6083-46dc-9427-d3481f8723e0,Boat,,Demersal,Bait,06:00,07:30,30,10,7,0,Whiting and herring,Necessity,,e78136fb-1806-41ed-8cb4-d294130a21b5,1/22/2022 12:10:34 AM,Nicole.Hamre_UWA,1/22/2022 12:10:34 AM,Nicole.Hamre_UWA,121.814859195524,-33.8989201327676
35,974d0faf-1d97-467d-8888-96856bc06fa8,Boat,,Trolling,Lure,07:00,08:00,0,0,0,0,,LowCatch,,85104a24-1a43-44fc-bf2c-864e054a890f,1/22/2022 12:21:58 AM,Nicole.Hamre_UWA,1/22/2022 12:21:58 AM,Nicole.Hamre_UWA,121.914067358634,-33.8930934713682
36,09aba671-9aaf-4d6d-af23-cfcbc3df4bb7,Boat,,Demersal,Bait,09:00,10:30,24,2,5,0,"Harlequin, sweep",Weather,,682982a1-376d-4ac5-af45-90ada3699609,1/22/2022 2:51:45 AM,Nicole.Hamre_UWA,1/22/2022 2:51:45 AM,Nicole.Hamre_UWA,121.981084345029,-33.9192256904982
37,c3cc11ae-3809-4500-8943-37881670135a,Boat,,Demersal,Bait,09:00,11:40,25,8,20,0,Herring,EndOfDay,,c71aa26f-e22c-47a6-92c5-0bee73c44491,1/22/2022 3:54:18 AM,Nicole.Hamre_UWA,1/22/2022 3:54:18 AM,Nicole.Hamre_UWA,121.902118796971,-33.9157625515744
38,046d21a2-3a21-47ce-851f-31c1f0f59ee4,Boat,,Demersal,Bait,06:00,11:00,40,8,6,0,"Break sea cod, blue grouper",EndOfDay,,875c00c5-6f18-4e5b-a669-e99e26aa60b2,1/22/2022 4:03:03 AM,Nicole.Hamre_UWA,1/22/2022 4:03:03 AM,Nicole.Hamre_UWA,121.981507465901,-34.0230489034754
39,3ab81eec-bdeb-41fe-8372-c88300e0e048,Boat,,Squidding,Lure,07:00,12:30,30,5,0,0,"Squid, snook, yellowtail scad",Weather,,ea0007b0-5b1b-4cfa-9531-62c49a2b7074,1/22/2022 4:42:11 AM,Nicole.Hamre_UWA,1/22/2022 4:42:11 AM,Nicole.Hamre_UWA,121.930048393827,-33.8632540398249
40,d0591308-4e94-42f8-baea-12b0c6402e42,Boat,,Demersal,Bait,11:00,11:30,0,0,1,0,,LowCatch,Don’t know depth,f10b7293-56ef-45e1-92ab-e8fe67df16c0,1/22/2022 5:08:35 AM,Nicole.Hamre_UWA,1/22/2022 5:12:38 AM,Nicole.Hamre_UWA,121.912405140287,-33.8579619716197
41,d0591308-4e94-42f8-baea-12b0c6402e42,Boat,,Demersal,Bait,12:00,12:40,0,0,0,0,,Weather,Don’t know depth,faf35dfd-ce2b-4823-8257-92cb78cfade7,1/22/2022 5:09:43 AM,Nicole.Hamre_UWA,1/22/2022 5:12:16 AM,Nicole.Hamre_UWA,121.902178890671,-33.869363550957
42,6471ce97-77b6-4b12-8bec-2f677699ce16,Boat,1/23/2022 2:38:10 AM,Squidding,Lure,08:00,08:15,3,0,0,0,,LowCatch,,b1f4b450-85e5-4e7d-97cf-cd552f39bf17,1/23/2022 2:38:57 AM,Nicole.Hamre_UWA,1/23/2022 2:38:57 AM,Nicole.Hamre_UWA,122.227992999606,-33.9920471493655
43,6471ce97-77b6-4b12-8bec-2f677699ce16,Boat,,Demersal,Bait,08:15,10:15,30,1,10,0,Break sea cod,EndOfDay,,18d653c7-3504-4922-96f6-17e21fb02bae,1/23/2022 2:40:21 AM,Nicole.Hamre_UWA,1/23/2022 2:40:21 AM,Nicole.Hamre_UWA,122.224949433762,-34.0001058899952
44,e18ffbd2-e2d8-43e7-99d0-9f27a0fafb65,Boat,,Demersal,Bait,06:30,10:30,40,9,1,0,"Break sea cod, nannygui, harlequin, queenside, ",EndOfDay,,3cae9f6a-07cb-427b-8930-6c61857800ab,1/23/2022 4:14:19 AM,Nicole.Hamre_UWA,1/23/2022 4:16:31 AM,Nicole.Hamre_UWA,122.008138173416,-34.043262312011
45,0bf88168-0b51-4c04-a5df-1de4806b8999,Boat,,Demersal,Bait,05:30,11:00,70,9,10,0,"Breaks sea, nannagi, blue grouper",Weather,,c70376f9-3d98-4526-a731-cc2b2f09e2ab,1/23/2022 4:26:41 AM,Nicole.Hamre_UWA,1/23/2022 4:26:41 AM,Nicole.Hamre_UWA,121.997422023068,-34.0861923179471
46,f25d9cf6-3f24-4f14-bbcd-2dbcce33b748,Boat,,Demersal,Both,09:30,10:00,42,3,1,0,"Queen snapper, western blue devil, break sea cod",EndOfDay,,2b168b5f-0a58-447f-8cea-ee54c0b33bbf,1/23/2022 4:50:39 AM,Nicole.Hamre_UWA,1/23/2022 4:50:39 AM,Nicole.Hamre_UWA,121.964016341156,-34.0295265037353
47,a8fad5c3-1e10-4509-a0c6-cdfa3cdb488d,Boat,1/23/2022 1:38:47 AM,Casting,Bait,05:00,12:00,35,6,7,0,"Black ass, harlequin, wolf cod",Weather,,113713ca-d1eb-47cc-82fb-c7f1734cbb62,1/24/2022 1:40:41 AM,Nicole.Hamre_UWA,1/24/2022 1:40:41 AM,Nicole.Hamre_UWA,122.596467349495,-33.9250878891947
48,83ac31e8-784c-47c0-b795-092ea40248e9,Shore,2/1/2022 3:08:39 AM,Demersal,Bait,18:00,23:00,10,4,0,0,Skippy,Necessity,,13f2b930-ff5f-4295-ab26-05ada46d1600,2/1/2022 3:16:49 AM,Nicole.Hamre_UWA,2/1/2022 3:16:49 AM,Nicole.Hamre_UWA,122.359177327669,-33.9146502272465
