OBJECTID,GlobalID,GUID for meta,# Interviewer,# Site,Screen: 18+,Screen: Have you been surveyed in the last 2 weeks?,Agreement to participate,"Are you/have you been a resident, got a holiday home here or been here over 3 months?","If here for less than 3 months, how many DAYS will you be in the area in total on this trip?","While you are on your trip, do you have access to a motorised boat/jetski (private/rental)?","If YES, how many DAYS out of your trip will you be going out on a boat in total? ",How many DAYS of your trip will you be doing coastal shore based activities in total? ,"Excluding this trip, how many times have you been to the area in the last 12 month?",created_user,created_date,last_edited_user,last_edited_date,Are you of Aboriginal or Torres Strait Islander origin?,Do you identify as a TO in this region?,x,y
4,dc0117f3-d0a8-413f-8148-981062e475a9,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,No,NA,NA,0,Nicole.Hamre_UWA,1/17/2022 1:22:51 AM,Nicole.Hamre_UWA,1/17/2022 1:33:50 AM,,,121.894753332989,-33.8659716657517
5,066c421f-db26-47f4-ac29-ccbb588db176,,EH,Wharton,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/17/2022 6:57:46 AM,Nicole.Hamre_UWA,1/17/2022 6:57:46 AM,,,122.589428333287,-33.9353883321729
6,85e33d86-5fb0-4e33-b1c2-83c97e00c1ee,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/21/2022 2:18:54 AM,Nicole.Hamre_UWA,1/21/2022 2:18:54 AM,,,121.89458047467,-33.8654804011965
7,002a7396-a8cb-471f-8b2c-cc8da5f4e356,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/21/2022 2:46:54 AM,Nicole.Hamre_UWA,1/21/2022 2:46:54 AM,,,121.893823326938,-33.8642844376034
8,8f465ef1-5a7f-45a3-b450-e1d1ec4f282b,,EH,EsperanceBR,Yes,No,Yes,No,8,Yes,2,8,1,Nicole.Hamre_UWA,1/21/2022 2:56:06 AM,Nicole.Hamre_UWA,1/21/2022 2:56:06 AM,,,121.894188276505,-33.8651313677191
9,00fe4bfa-98d7-4922-9759-94294db3fe39,,EH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/21/2022 11:32:19 PM,Nicole.Hamre_UWA,1/21/2022 11:32:19 PM,,,121.930944148014,-33.8326395400089
10,efa5fdc5-dfc5-40fe-96a7-2252e89b45f8,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/22/2022 3:24:53 AM,Nicole.Hamre_UWA,1/22/2022 3:24:53 AM,,,121.932418333701,-33.8314666655246
11,c53dae6d-cfdf-4443-94c9-37e6eb756ae4,,EH,BandyCreekBR,Yes,Yes,Yes,No,7,Yes,2,7,0,Nicole.Hamre_UWA,1/22/2022 3:55:46 AM,Nicole.Hamre_UWA,1/22/2022 3:55:46 AM,,,121.932263332992,-33.8314266655947
12,b48ced61-1739-4972-a576-3e9b066098c5,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/22/2022 4:47:44 AM,Nicole.Hamre_UWA,1/22/2022 4:47:44 AM,,,121.932253332946,-33.831414999318
13,f6656fa9-f674-4580-9235-bf5d949a9879,,EH,BandyCreekBR,Yes,No,Yes,No,4,Yes,1,4,3,Nicole.Hamre_UWA,1/22/2022 4:59:57 AM,Nicole.Hamre_UWA,1/22/2022 4:59:57 AM,,,121.932181666251,-33.8314016660021
14,b1c70484-6603-4d98-a5a6-49eefcb6fbde,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/22/2022 6:53:47 AM,Nicole.Hamre_UWA,1/22/2022 6:53:47 AM,,,121.932191666297,-33.8310216656231
15,5c97bb53-87ba-4bb2-b165-c7d919d44655,,EH,LuckyBay,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/23/2022 2:11:30 AM,Nicole.Hamre_UWA,1/23/2022 2:11:30 AM,,,122.218262184344,-33.989663249911
16,ed8bee0f-b535-4255-9e07-2a0a2cdc5650,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/23/2022 4:04:37 AM,Nicole.Hamre_UWA,1/23/2022 4:04:37 AM,,,121.893653217464,-33.8653721025551
17,f850b07d-d08a-4597-8836-07cf3612057b,,EH,EsperanceBR,Yes,No,Yes,Yes,2,Yes,2,0,0,Nicole.Hamre_UWA,1/23/2022 4:36:49 AM,Nicole.Hamre_UWA,1/23/2022 4:36:49 AM,,,121.894180863608,-33.8658564300139
18,1d84e23c-1c4a-468a-b00e-1099cc37d9b9,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/23/2022 4:47:05 AM,Nicole.Hamre_UWA,1/23/2022 4:47:05 AM,,,121.89422355155,-33.8681733813924
19,8ef85227-8aa8-41ec-b017-40cf8c1516cd,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/23/2022 5:10:27 AM,Nicole.Hamre_UWA,1/23/2022 5:10:27 AM,,,121.89428659352,-33.8663605361748
20,19a48624-5245-4551-8986-93d502475c94,,EH,BandyCreekBR,Yes,Yes,No,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/23/2022 5:40:12 AM,Nicole.Hamre_UWA,1/23/2022 5:40:12 AM,,,121.931260668506,-33.833185642664
21,67e773de-6974-4ca1-8978-1746450746a7,,EH,BandyCreekBR,Yes,No,No,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/23/2022 5:40:42 AM,Nicole.Hamre_UWA,1/23/2022 5:40:42 AM,,,121.931365582748,-33.8336794822774
22,f9b6a339-87ad-48c7-98a5-77ffd4a07e77,,EH,BandyCreekBR,Yes,No,No,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/23/2022 5:42:00 AM,Nicole.Hamre_UWA,1/23/2022 5:42:00 AM,,,121.930806039226,-33.8339990235536
23,27d42d98-c39d-4243-b705-15f8ee4f34f9,,NSH,BandyCreekBR,Yes,No,Yes,No,7,Yes,2,4,0,Nicole.Hamre_UWA,1/20/2022 3:15:30 AM,Nicole.Hamre_UWA,1/20/2022 3:15:30 AM,,,121.931274256423,-33.8328537935203
24,f11653ec-00b4-43a0-9ccc-17f9c2078a2f,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/20/2022 3:29:52 AM,Nicole.Hamre_UWA,1/20/2022 3:36:31 AM,,,121.931409901133,-33.8330267116199
25,f8c7b042-f471-4389-b8e4-020f1be4ce9d,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/20/2022 4:11:50 AM,Nicole.Hamre_UWA,1/20/2022 4:11:50 AM,,,121.931554591877,-33.8330255094951
26,88780bb7-d3cd-474a-8a17-f5540f5eff05,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/20/2022 4:20:44 AM,Nicole.Hamre_UWA,1/20/2022 4:20:44 AM,,,121.931633240279,-33.8331887199782
27,5598b27d-78b7-4155-8248-6ea143f2d96e,,EH,EsperanceBR,Yes,No,Yes,No,4,Yes,1,0,1,Nicole.Hamre_UWA,1/20/2022 4:59:40 AM,Nicole.Hamre_UWA,1/20/2022 4:59:40 AM,,,121.89421383627,-33.8644885776094
28,16a592b9-b766-4033-9b88-4b4d26cc2052,,NSH,BandyCreekBR,Yes,No,Yes,No,10,Yes,2,8,1,Nicole.Hamre_UWA,1/21/2022 12:55:58 AM,Nicole.Hamre_UWA,1/21/2022 12:55:58 AM,,,121.931259126099,-33.833156547712
29,bb2d0ca0-d8ba-4f21-866f-56ac5bffaf8c,,NSH,BandyCreekBR,Yes,No,Yes,No,7,Yes,3,3,0,Nicole.Hamre_UWA,1/21/2022 3:09:55 AM,Nicole.Hamre_UWA,1/21/2022 3:09:55 AM,,,121.931378572387,-33.8330509182754
30,501e1d61-2b4a-4de3-a678-d2b49f194587,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/21/2022 3:14:56 AM,Nicole.Hamre_UWA,1/21/2022 3:14:56 AM,,,121.931520350793,-33.833053503104
31,c06c5453-0167-4963-a346-01e85fcc898f,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/21/2022 11:57:06 PM,Nicole.Hamre_UWA,1/21/2022 11:57:06 PM,,,121.893974597842,-33.8655253820636
32,b2f19e9f-6083-46dc-9427-d3481f8723e0,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/22/2022 12:08:06 AM,Nicole.Hamre_UWA,1/22/2022 12:08:06 AM,,,121.893974597842,-33.8655253820636
33,974d0faf-1d97-467d-8888-96856bc06fa8,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/22/2022 12:18:58 AM,Nicole.Hamre_UWA,1/22/2022 12:18:58 AM,,,121.893974597842,-33.8655253820636
34,e876ee75-bf58-472f-b8df-23ce1b733239,,NSH,EsperanceBR,Yes,No,No,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/22/2022 12:31:42 AM,Nicole.Hamre_UWA,1/22/2022 12:31:42 AM,,,121.893974597842,-33.8655253820636
35,09aba671-9aaf-4d6d-af23-cfcbc3df4bb7,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/22/2022 2:49:58 AM,Nicole.Hamre_UWA,1/22/2022 2:49:58 AM,,,121.89401561402,-33.8638078029448
36,dd9a53f2-5e50-4595-b520-1eee6dbba0e5,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/22/2022 3:39:33 AM,Nicole.Hamre_UWA,1/22/2022 3:39:33 AM,,,121.89421383627,-33.8644885776094
37,c3cc11ae-3809-4500-8943-37881670135a,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/22/2022 3:53:23 AM,Nicole.Hamre_UWA,1/22/2022 3:53:23 AM,,,121.893927226084,-33.8643385454864
38,046d21a2-3a21-47ce-851f-31c1f0f59ee4,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/22/2022 4:01:14 AM,Nicole.Hamre_UWA,1/22/2022 4:01:14 AM,,,121.894146180553,-33.8645346428248
39,42027b7b-d2bb-46ee-ba54-05fb2d203a52,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/22/2022 4:19:23 AM,Nicole.Hamre_UWA,1/22/2022 4:19:23 AM,,,121.893983569317,-33.8654891865764
40,3ab81eec-bdeb-41fe-8372-c88300e0e048,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/22/2022 4:40:19 AM,Nicole.Hamre_UWA,1/22/2022 4:40:19 AM,,,121.894243516607,-33.8645657201971
41,d0591308-4e94-42f8-baea-12b0c6402e42,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/22/2022 5:06:48 AM,Nicole.Hamre_UWA,1/22/2022 5:06:48 AM,,,121.894212358542,-33.8645696907421
42,6471ce97-77b6-4b12-8bec-2f677699ce16,,NSH,LuckyBay,Yes,No,Yes,No,10,Yes,5,10,0,Nicole.Hamre_UWA,1/23/2022 2:37:52 AM,Nicole.Hamre_UWA,1/23/2022 2:37:52 AM,,,122.221312721115,-33.992167117553
43,e18ffbd2-e2d8-43e7-99d0-9f27a0fafb65,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/23/2022 4:12:31 AM,Nicole.Hamre_UWA,1/23/2022 4:16:15 AM,,,121.931353754631,-33.8333453113995
44,0bf88168-0b51-4c04-a5df-1de4806b8999,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/23/2022 4:25:07 AM,Nicole.Hamre_UWA,1/23/2022 4:25:07 AM,,,121.931547808698,-33.8328048958072
45,db2d8dc4-07fe-4482-bfe9-135b73baf206,,NSH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/23/2022 4:30:32 AM,Nicole.Hamre_UWA,1/23/2022 4:40:09 AM,,,121.931353754631,-33.8333453113995
46,f25d9cf6-3f24-4f14-bbcd-2dbcce33b748,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/23/2022 4:46:26 AM,Nicole.Hamre_UWA,1/23/2022 4:46:26 AM,,,121.931378423267,-33.8333947796423
47,d094761c-9806-4a93-97c8-9fcc54e38122,,NSH,BandyCreekBR,Yes,Yes,No,No,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,1/23/2022 5:03:11 AM,Nicole.Hamre_UWA,1/23/2022 5:03:11 AM,,,121.931468412,-33.8335264209637
48,a8fad5c3-1e10-4509-a0c6-cdfa3cdb488d,,EH,BandyCreekBR,Yes,No,Yes,Yes,7,Yes,4,7,3,Nicole.Hamre_UWA,1/24/2022 1:38:31 AM,Nicole.Hamre_UWA,1/24/2022 1:38:31 AM,,,121.930851282875,-33.833291359239
49,83ac31e8-784c-47c0-b795-092ea40248e9,,CLA,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,6,4,6,Nicole.Hamre_UWA,2/1/2022 3:02:40 AM,Nicole.Hamre_UWA,2/1/2022 3:02:40 AM,,,122.358682151132,-33.9150220801107
51,fb4efaa5-65c6-4732-a5e2-07d48fa2b980,,EH,EsperanceBR,Yes,No,NE,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/16/2022 1:08:02 AM,Nicole.Hamre_UWA,2/16/2022 1:08:02 AM,,,121.89408627011,-33.8647372530948
52,d821ee09-4f80-4aa1-ba33-4ec70b53a8ba,,NSH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/16/2022 1:41:14 AM,Nicole.Hamre_UWA,2/16/2022 1:41:14 AM,,,121.930545340045,-33.8336959835695
53,2f09f756-a353-4e72-9f94-435e303d7730,,NSH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/16/2022 2:30:46 AM,Nicole.Hamre_UWA,2/16/2022 2:35:48 AM,,,121.931405624254,-33.8332706060456
54,d3f8d55d-3738-4225-9b21-28e068eff9f6,,NSH,BandyCreekBR,Yes,No,Yes,No,7,Yes,1,7,0,Nicole.Hamre_UWA,2/16/2022 3:46:22 AM,Nicole.Hamre_UWA,2/16/2022 3:46:22 AM,,,121.931468412,-33.8335264209637
55,62e5375b-d061-479f-b581-3c73fd465483,,NSH,BandyCreekBR,Yes,No,Yes,No,14,Yes,5,7,1,Nicole.Hamre_UWA,2/16/2022 4:55:11 AM,Nicole.Hamre_UWA,2/16/2022 4:55:11 AM,,,121.931259126099,-33.833156547712
56,e69fb4ce-15f4-42df-b15f-104d24e102fd,,NSH,DukeOrleans,Yes,No,Yes,Yes,5,Yes,2,All,0,Nicole.Hamre_UWA,2/17/2022 3:50:38 AM,Nicole.Hamre_UWA,2/17/2022 3:50:38 AM,,,122.579708316673,-33.9245027616709
57,58875847-f392-4ccb-a35c-d050a4772a99,,NSH,DukeOrleans,Yes,No,Yes,Yes,30,Yes,4,All,0,Nicole.Hamre_UWA,2/17/2022 4:23:25 AM,Nicole.Hamre_UWA,2/17/2022 4:23:25 AM,,,122.579729229452,-33.9245202203901
58,ef1ba608-26c6-4519-9b90-222d46b3b213,,EH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/18/2022 12:12:31 AM,Nicole.Hamre_UWA,2/18/2022 12:12:31 AM,,,121.893906541476,-33.8686086389614
59,f21004a8-9ac1-425c-8308-53ec87c6c32f,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 2:23:22 AM,Nicole.Hamre_UWA,2/19/2022 2:23:22 AM,,,121.931698261237,-33.8332791216309
60,5c2e3e5a-7b08-4921-ade2-26f61ccc51fe,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 2:29:57 AM,Nicole.Hamre_UWA,2/19/2022 2:29:57 AM,,,121.930976277158,-33.8336476482211
61,f3880ed3-a4ea-4797-ac02-1f119ce18fab,,EH,BandyCreekBR,Yes,No,Yes,No,2,Yes,1,1,0,Nicole.Hamre_UWA,2/19/2022 3:23:00 AM,Nicole.Hamre_UWA,2/19/2022 3:23:00 AM,,,121.931383601156,-33.8337281220541
62,2ed390d3-7607-4408-a22e-6c04c6ddcfa2,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 3:28:20 AM,Nicole.Hamre_UWA,2/19/2022 3:28:20 AM,,,121.931120374117,-33.833999627967
63,92645370-848a-4e6d-a542-2393e7ef0a34,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 3:39:07 AM,Nicole.Hamre_UWA,2/19/2022 3:39:07 AM,,,121.930876097038,-33.8337412445811
64,e2e76373-85b8-48e9-a054-04fa6b457658,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 3:53:57 AM,Nicole.Hamre_UWA,2/19/2022 3:53:57 AM,,,121.931282999726,-33.8334548176971
65,be8a3801-d779-4c30-b1dd-24c6590bab15,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 4:08:37 AM,Nicole.Hamre_UWA,2/19/2022 4:08:37 AM,,,121.931221449857,-33.8335092861205
66,3783f8f8-18d2-41a6-a1c1-51b39a4320f8,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 4:16:11 AM,Nicole.Hamre_UWA,2/19/2022 4:16:11 AM,,,121.931194534535,-33.8337800569839
67,97586454-4fd6-452b-a16b-87203e01e829,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 4:24:53 AM,Nicole.Hamre_UWA,2/19/2022 4:24:53 AM,,,121.931163887611,-33.8334443896335
68,443c5b72-922d-489e-9b6b-323f1cf6b92d,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 4:40:22 AM,Nicole.Hamre_UWA,2/19/2022 4:40:22 AM,,,121.931293686084,-33.8336817096611
69,fcedcde4-5035-49e4-abdb-aee8f3cdf541,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 4:50:14 AM,Nicole.Hamre_UWA,2/19/2022 4:50:14 AM,,,121.931069646252,-33.8336790345621
70,3d61651b-35c8-42f5-ae6b-1465e738d0f6,,EH,BandyCreekBR,Yes,No,NE,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 4:56:36 AM,Nicole.Hamre_UWA,2/19/2022 4:56:36 AM,,,121.930828465667,-33.8331800133575
71,da74e667-bb5f-4409-ba2c-9c3f043fa2f8,,EH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 5:03:00 AM,Nicole.Hamre_UWA,2/19/2022 5:03:00 AM,,,121.930884710983,-33.8333449069617
72,88ae9399-037e-41e0-a7d7-5970e27d8280,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 5:07:31 AM,Nicole.Hamre_UWA,2/19/2022 5:07:31 AM,,,121.931306569722,-33.8339600627586
73,a1e5b056-77da-48e8-be2c-6f5762c26e08,,EH,BandyCreekBR,Yes,No,Yes,Yes,2,Yes,2,2,0,Nicole.Hamre_UWA,2/19/2022 5:13:41 AM,Nicole.Hamre_UWA,2/19/2022 5:13:41 AM,,,121.931258867384,-33.8325130319403
74,7ea34af3-4664-4006-967e-cd1bde677861,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 5:17:54 AM,Nicole.Hamre_UWA,2/19/2022 5:17:54 AM,,,121.9308571884,-33.8336591694317
75,271b9b6c-327a-4c5c-b585-4f33c4abfa3f,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 5:23:56 AM,Nicole.Hamre_UWA,2/19/2022 5:23:56 AM,,,121.931703691553,-33.8337725450758
76,2c63b783-efcb-4aa7-ad8d-f9b5486436f0,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 5:29:27 AM,Nicole.Hamre_UWA,2/19/2022 5:29:27 AM,,,121.930832903344,-33.8338607135089
77,7ad0b93e-4ba7-486f-b539-40142d477788,,EH,BandyCreekBR,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 5:36:51 AM,Nicole.Hamre_UWA,2/19/2022 5:36:51 AM,,,121.929719281649,-33.8344245929533
78,c567f82a-55d0-4314-85ee-560d20d3ad5a,,EH,BandyCreekBR,Yes,No,Yes,Yes,4,Yes,4,0,2,Nicole.Hamre_UWA,2/19/2022 6:17:18 AM,Nicole.Hamre_UWA,2/19/2022 6:17:18 AM,,,121.931357559894,-33.8336210852582
79,0a5b8863-8140-4542-91eb-ceee62f8b002,,EH,BandyCreekBR,Yes,No,Yes,No,7,Yes,1,7,0,Nicole.Hamre_UWA,2/19/2022 6:28:16 AM,Nicole.Hamre_UWA,2/19/2022 6:28:16 AM,,,121.931157424232,-33.8331749869776
80,dcf47047-6c74-4e58-9e25-dfbb783e3919,,EH,BandyCreekBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/19/2022 7:02:13 AM,Nicole.Hamre_UWA,2/19/2022 7:02:13 AM,,,121.931311333488,-33.8332592511842
81,76ddcb46-0c4e-4441-bd9e-3d890a74d6e6,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/22/2022 1:56:47 AM,Nicole.Hamre_UWA,2/22/2022 1:56:47 AM,,,121.894188276505,-33.8651313677191
82,15590a95-c762-42b4-8e38-6f479473bd1e,,NSH,EsperanceBR,Yes,No,Yes,Yes,NA,Yes,NA,NA,0,Nicole.Hamre_UWA,2/22/2022 3:43:15 AM,Nicole.Hamre_UWA,2/22/2022 3:43:15 AM,,,121.893983569317,-33.8654891865764
